前傾角度,体重移動,トップ・振り幅の評価,フォロー・振り幅の評価,AIコメント
0,0,0,0,完璧です。
0,0,0,1,フォローの手元の位置が低すぎます。
0,0,0,2,フォローの手元の位置が高すぎます。
0,0,1,0,トップの手元の位置が低すぎます。
0,0,1,1,アプローチ中、前傾角度のキープができていません。トップとフォローの手元の位置が低すぎます。
0,0,1,2,トップの手元の位置が低すぎます。フォローの手元の位置が高すぎます。
0,0,2,0,トップの手元の位置が高すぎます。
0,0,2,1,アプローチ中、前傾角度のキープができていません。トップの手元の位置が高すぎます。フォローの手元の位置が低すぎます。
0,0,2,2,トップとフォローの手元の位置が高すぎます。
0,1,0,0,アプローチ中、左体重のキープができていません。
0,1,0,1,アプローチ中、左体重のキープができていません。フォローの手元の位置が低すぎます。
0,1,0,2,アプローチ中、左体重のキープができていません。フォローの手元の位置が高すぎます。
0,1,1,0,アプローチ中、左体重のキープができていません。トップの手元の位置が低すぎます。
0,1,1,1,アプローチ中、左体重のキープができていません。トップとフォローの手元の位置が低すぎます。
0,1,1,2,アプローチ中、左体重のキープができていません。トップの手元の位置が低すぎます。フォローの手元の位置が高すぎます。
0,1,2,0,アプローチ中、左体重のキープができていません。トップの手元の位置が高すぎます。
0,1,2,1,アプローチ中、左体重のキープができていません。トップの手元の位置が高すぎます。フォローの手元の位置が低すぎます。
0,1,2,2,アプローチ中、左体重のキープができていません。トップとフォローの手元の位置が高すぎます。
1,0,0,0,アプローチ中、前傾角度のキープができていません。
1,0,0,1,アプローチ中、前傾角度のキープができていません。フォローの手元の位置が低すぎます。
1,0,0,2,アプローチ中、前傾角度のキープができていません。フォローの手元の位置が高すぎます。
1,0,1,0,アプローチ中、前傾角度のキープができていません。トップの手元の位置が低すぎます。
1,0,1,1,アプローチ中、前傾角度のキープができていません。トップとフォローの手元の位置が低すぎます。
1,0,1,2,アプローチ中、前傾角度のキープができていません。トップの手元の位置が低すぎます。フォローの手元の位置が高すぎます。
1,0,2,0,アプローチ中、前傾角度のキープができていません。トップの手元の位置が高すぎます。
1,0,2,1,アプローチ中、前傾角度のキープができていません。トップの手元の位置が高すぎます。フォローの手元の位置が低すぎます。
1,0,2,2,アプローチ中、前傾角度のキープができていません。トップとフォローの手元の位置が高すぎます。
1,1,0,0,アプローチ中、前傾角度と左体重のキープができていません。
1,1,0,1,アプローチ中、前傾角度と左体重のキープができていません。フォローの手元の位置が低すぎます。
1,1,0,2,アプローチ中、前傾角度と左体重のキープができていません。フォローの手元の位置が高すぎます。
1,1,1,0,アプローチ中、前傾角度と左体重のキープができていません。トップの手元の位置が低すぎます。
1,1,1,1,アプローチ中、前傾角度と左体重のキープができていません。トップとフォローの手元の位置が低すぎます。
1,1,1,2,アプローチ中、前傾角度と左体重のキープができていません。トップの手元の位置が低すぎます。フォローの手元の位置が高すぎます。
1,1,2,0,アプローチ中、前傾角度と左体重のキープができていません。トップの手元の位置が高すぎます。
1,1,2,1,アプローチ中、前傾角度と左体重のキープができていません。トップの手元の位置が高すぎます。フォローの手元の位置が低すぎます。
1,1,2,2,アプローチ中、前傾角度と左体重のキープができていません。トップとフォローの手元の位置が高すぎます。
