計測済み,部位,パターン番号,状態,閾値対応番号,閾値
☑,前傾角度,0,アプローチ中、前傾角度のキープができています,"101,201,301,401","ハーフバックとインパクト：アドレスから±5度
ハーフフォロー：アドレスから+2〜-20度"
☑,前傾角度,1,アプローチ中、前傾角度のキープができていません,"102,202,302,402","ハーフバックとインパクト：アドレスから±5度の範囲外
ハーフフォロー：アドレスから+2〜-20度の範囲外"
☑,体重移動,0,アプローチ中、左体重のキープできています,"115,215,315,415","ハーフバック：+3〜-2cm
インパクト：+6〜-2cm
ハーフフォロー：0〜+7cm"
☑,体重移動,1,アプローチ中、左体重のキープができていません,"116,216,316,416","ハーフバック：+3〜-2cmの範囲外
インパクト：+6〜-2cmの範囲外
ハーフフォロー：0〜+7cmの範囲外"
☑,トップ・振り幅の評価,0,トップの手元のポジションは良いです,238,左腕の角度：68〜82
☑,トップ・振り幅の評価,1,トップの手元の位置が低すぎます,239,左腕の角度：67以下
☑,トップ・振り幅の評価,2,トップの手元の位置が高すぎます,240,左腕の角度：83以上
☑,フォロー・振り幅の評価,0,フォローの手元のポジションは良いです,338,右腕の角度：68〜82
☑,フォロー・振り幅の評価,1,フォローの手元の位置が低すぎます,339,右腕の角度：67以下
☑,フォロー・振り幅の評価,2,フォローの手元の位置が高すぎます,340,右腕の角度：83以上
